area,date,units_sold,revenue
New York,2023-01-01,1050,31500
New York,2023-02-01,1320,39600
New York,2023-03-01,1650,49500
New York,2023-04-01,1200,36000
New York,2023-05-01,1400,42000
Los Angeles,2023-01-01,850,25500
Los Angeles,2023-02-01,1050,31500
Los Angeles,2023-03-01,1350,40500
Los Angeles,2023-04-01,1100,33000
Los Angeles,2023-05-01,950,28500
Chicago,2023-01-01,700,21000
Chicago,2023-02-01,780,23400
Chicago,2023-03-01,950,28500
Chicago,2023-04-01,800,24000
Chicago,2023-05-01,850,25500
Houston,2023-01-01,680,20400
Houston,2023-02-01,720,21600
Houston,2023-03-01,800,24000
Houston,2023-04-01,750,22500
Houston,2023-05-01,850,25500
Phoenix,2023-01-01,430,12900
Phoenix,2023-02-01,480,14400
Phoenix,2023-03-01,550,16500
Phoenix,2023-04-01,520,15600
Phoenix,2023-05-01,600,18000
Philadelphia,2023-01-01,540,16200
Philadelphia,2023-02-01,600,18000
Philadelphia,2023-03-01,690,20700
Philadelphia,2023-04-01,640,19200
Philadelphia,2023-05-01,730,21900
San Antonio,2023-01-01,350,10500
San Antonio,2023-02-01,400,12000
San Antonio,2023-03-01,480,14400
San Antonio,2023-04-01,430,12900
San Antonio,2023-05-01,520,15600
San Diego,2023-01-01,420,12600
San Diego,2023-02-01,470,14100
San Diego,2023-03-01,560,16800
San Diego,2023-04-01,510,15300
San Diego,2023-05-01,600,18000
Dallas,2023-01-01,650,19500
Dallas,2023-02-01,700,21000
Dallas,2023-03-01,780,23400
Dallas,2023-04-01,730,21900
Dallas,2023-05-01,810,24300
San Jose,2023-01-01,500,15000
San Jose,2023-02-01,550,16500
San Jose,2023-03-01,620,18600
San Jose,2023-04-01,580,17400
San Jose,2023-05-01,670,20100
