area,date,quantity_sent,shipment_cost
New York,2023-01-01,1200,5000
New York,2023-02-01,1500,6200
New York,2023-03-01,1800,7500
New York,2023-04-01,1400,5800
New York,2023-05-01,1600,6600
Los Angeles,2023-01-01,1000,4800
Los Angeles,2023-02-01,1200,5500
Los Angeles,2023-03-01,1500,7000
Los Angeles,2023-04-01,1300,6200
Los Angeles,2023-05-01,1100,5200
Chicago,2023-01-01,800,3500
Chicago,2023-02-01,900,4000
Chicago,2023-03-01,1100,4800
Chicago,2023-04-01,950,4200
Chicago,2023-05-01,1000,4400
Houston,2023-01-01,750,3200
Houston,2023-02-01,800,3500
Houston,2023-03-01,900,3900
Houston,2023-04-01,850,3700
Houston,2023-05-01,950,4100
Phoenix,2023-01-01,500,2200
Phoenix,2023-02-01,550,2400
Phoenix,2023-03-01,650,2800
Phoenix,2023-04-01,600,2600
Phoenix,2023-05-01,700,3000
Philadelphia,2023-01-01,600,2500
Philadelphia,2023-02-01,650,2700
Philadelphia,2023-03-01,750,3100
Philadelphia,2023-04-01,700,2900
Philadelphia,2023-05-01,800,3300
San Antonio,2023-01-01,400,1800
San Antonio,2023-02-01,450,2000
San Antonio,2023-03-01,550,2400
San Antonio,2023-04-01,500,2200
San Antonio,2023-05-01,600,2600
San Diego,2023-01-01,450,2000
San Diego,2023-02-01,500,2200
San Diego,2023-03-01,600,2600
San Diego,2023-04-01,550,2400
San Diego,2023-05-01,650,2800
Dallas,2023-01-01,700,3000
Dallas,2023-02-01,750,3200
Dallas,2023-03-01,850,3600
Dallas,2023-04-01,800,3400
Dallas,2023-05-01,900,3800
San Jose,2023-01-01,550,2400
San Jose,2023-02-01,600,2600
San Jose,2023-03-01,700,3000
San Jose,2023-04-01,650,2800
San Jose,2023-05-01,750,3200
